Omar Khayym
Kherdian
Vladislav Khodasevich
Talib Khundmiri
Ab'ul Hasan Yamn ud-Dn Khusrow
Saba Kidane
Sren Kierkegaard
Emelihter Kihleng Pohnpeian poet and academic
Andrzej Tadeusz Kijowski
Takarai Kikaku
Joyce Kilmer
Edward King
Henry King
William King
Thomas Hansen Kingo
Gottfried Kinkel
Galway Kinnell
John Kinsella
Thomas Kinsella
Rudyard Kipling
Easterine Kire
Danilo Ki
Necip Fazl Ksakrek
Atala Kisfaludy
Iya Kiva
Eila Kivikk'aho
Carolyn Kizer
Sarah Klassen
August Kleinzahler
Friedrich Gottlieb Klopstock
Franciszek Dionizy Knianin
Etheridge Knight
Kobayashi Issa
Jan Kochanowski
Kenneth Koch
Jan Kochanowski
Petar Koi
Istvn Kohry
Ferenc Klcsey
Aladr Komjt
Yusef Komunyakaa
Bla Kondor
Faik Konitza
Halina Konopacka
Maria Konopnicka
Ted Kooser
Stanisaw Korab-Brzozowski
Julian Kornhauser
Apollo Korzeniowski
Sreko Kosovel
Jzsef Kossics
Laza Kosti
Dezs Kosztolnyi
Gopi Kottoor
Urszula Kozio
Taja Kramberger
Ignacy Krasicki
Zygmunt Krasiski
Zlatko Krasni
Ruth Krauss
Krayem Awad
Carolyn Kreiter-Foronda
Katarzyna Krenz
Miroslav Krlea
Antjie Krog
Jzef Krupiski
Ryszard Krynicki
Marilyn Krysl
Andrzej Krzycki
Yanka Kupala
ofia Kubini
Pawe Kubisz
Pter Kuczka
Anatoly Kudryavitsky
Endre Kukorelly
Maxine Kumin
Stanley Kunitz
Yanka Kupala
Tuli Kupferberg
Jalu Kurek
Momoko Kuroda
Mira Ku
Kusumagraj
Onat Kutlar
Stephen Kuusisto
Sir Francis Kynaston or Kinaston
Kyoshi Takahama
Jean de La Fontaine
Ilmar Laaban
Pierre Labrie
Lszl Ladnyi
Jules Laforgue
Jarkko Laine
Ivan V. Lali
Philip Lamantia
Kendrick Lamar
Alphonse de Lamartine
Charles Lamb
Peter Lampe
Letitia Elizabeth Landon
Walter Savage Landor
Antoni Lange
William Langland
Emilia Lanier
Sebestyn Tindi Lantos
Laozi
Alda Lara
